model,quality,kodak,psnr,ssim,vif,bpp,mse,mae
bmshj2018-factorized,1,15,28.24,0.8555,1.0118,0.1034,1.5 × 10^-3,2.6 × 10^-2
bmshj2018-factorized,1,16,28.72,0.9017,1.0143,0.1147,1.34 × 10^-3,2.3 × 10^-2
bmshj2018-factorized,1,17,24.89,0.8227,1.0066,0.1472,3.24 × 10^-3,3.74 × 10^-2
bmshj2018-factorized,1,18,26.79,0.865,0.9923,0.1232,2.09 × 10^-3,2.96 × 10^-2
bmshj2018-factorized,1,19,29.19,0.9122,0.9877,0.1115,1.2 × 10^-3,1.91 × 10^-2
bmshj2018-factorized,1,20,25.97,0.8761,0.9941,0.1358,2.53 × 10^-3,3.11 × 10^-2
bmshj2018-factorized,1,21,27.31,0.8415,1.0228,0.1225,1.86 × 10^-3,2.94 × 10^-2
bmshj2018-factorized,1,22,30.24,0.9335,0.9837,0.1082,9.46 × 10^-4,1.85 × 10^-2
bmshj2018-factorized,1,23,24.02,0.8419,0.9922,0.147,3.96 × 10^-3,3.78 × 10^-2
bmshj2018-factorized,1,0,25.89,0.8535,1.0017,0.2647,2.57 × 10^-3,3.65 × 10^-2
bmshj2018-factorized,1,1,30.35,0.8847,1.0095,0.1698,9.22 × 10^-4,2.04 × 10^-2
bmshj2018-factorized,1,2,31.7,0.9273,0.9877,0.1524,6.76 × 10^-4,1.64 × 10^-2
bmshj2018-factorized,1,3,29.95,0.8914,0.9905,0.17,1.01 × 10^-3,2.14 × 10^-2
bmshj2018-factorized,1,4,25.01,0.8745,0.9969,0.3003,3.16 × 10^-3,3.93 × 10^-2
bmshj2018-factorized,1,5,26.6,0.8666,0.9954,0.221,2.19 × 10^-3,3.11 × 10^-2
bmshj2018-factorized,1,6,30.52,0.9456,1.0062,0.1939,8.87 × 10^-4,1.92 × 10^-2
bmshj2018-factorized,1,7,24.03,0.8766,1.0117,0.313,3.95 × 10^-3,4.32 × 10^-2
bmshj2018-factorized,1,8,31.18,0.9333,0.9976,0.1657,7.62 × 10^-4,1.75 × 10^-2
bmshj2018-factorized,1,9,30.48,0.9234,0.9878,0.1721,8.95 × 10^-4,1.91 × 10^-2
bmshj2018-factorized,1,10,27.95,0.8779,1.0036,0.2015,1.6 × 10^-3,2.61 × 10^-2
bmshj2018-factorized,1,11,31.58,0.9096,1.0108,0.1588,6.95 × 10^-4,1.78 × 10^-2
bmshj2018-factorized,1,12,22.47,0.7937,1.0005,0.2952,5.66 × 10^-3,5.18 × 10^-2
bmshj2018-factorized,1,13,26.67,0.8603,1.0039,0.2386,2.15 × 10^-3,3.19 × 10^-2
bmshj2018-factorized,1,14,30.12,0.9071,1.0094,0.167,9.73 × 10^-4,1.94 × 10^-2
bmshj2018-factorized,1,15,29.54,0.8851,1.0022,0.1663,1.11 × 10^-3,2.25 × 10^-2
bmshj2018-factorized,1,16,29.94,0.9192,1.0047,0.1713,1.01 × 10^-3,1.99 × 10^-2
bmshj2018-factorized,1,17,25.88,0.8567,1.009,0.2316,2.58 × 10^-3,3.31 × 10^-2
bmshj2018-factorized,1,18,28.37,0.8876,0.9923,0.1876,1.46 × 10^-3,2.53 × 10^-2
bmshj2018-factorized,1,19,30.45,0.9238,1.0005,0.1637,9.01 × 10^-4,1.68 × 10^-2
bmshj2018-factorized,1,20,27.2,0.9002,1.0009,0.2076,1.9 × 10^-3,2.71 × 10^-2
bmshj2018-factorized,1,21,28.41,0.8665,1.0257,0.1891,1.44 × 10^-3,2.61 × 10^-2
bmshj2018-factorized,1,22,31.75,0.9441,0.9919,0.1547,6.68 × 10^-4,1.57 × 10^-2
bmshj2018-factorized,1,23,25.07,0.8742,1.0008,0.2318,3.11 × 10^-3,3.29 × 10^-2
bmshj2018-factorized,1,0,27.09,0.8855,0.9993,0.4103,1.95 × 10^-3,3.2 × 10^-2
bmshj2018-factorized,1,1,31.58,0.9027,1.0102,0.254,6.94 × 10^-4,1.79 × 10^-2
bmshj2018-factorized,1,2,33.03,0.9412,0.9946,0.2244,4.97 × 10^-4,1.42 × 10^-2
bmshj2018-factorized,1,3,31.28,0.9121,1.003,0.2556,7.45 × 10^-4,1.86 × 10^-2
bmshj2018-factorized,1,4,26.65,0.9099,1.0014,0.4595,2.16 × 10^-3,3.26 × 10^-2
bmshj2018-factorized,1,5,28.01,0.8993,0.9973,0.343,1.58 × 10^-3,2.66 × 10^-2
bmshj2018-factorized,1,6,32.25,0.9586,1.0025,0.2788,5.96 × 10^-4,1.58 × 10^-2
bmshj2018-factorized,1,7,25.59,0.9061,1.0091,0.472,2.76 × 10^-3,3.63 × 10^-2
bmshj2018-factorized,1,8,32.68,0.9456,0.9997,0.2412,5.4 × 10^-4,1.51 × 10^-2
bmshj2018-factorized,1,9,32.18,0.9394,0.9936,0.2526,6.05 × 10^-4,1.61 × 10^-2
bmshj2018-factorized,1,10,29.27,0.9039,1.005,0.3064,1.18 × 10^-3,2.26 × 10^-2
bmshj2018-factorized,1,11,32.87,0.9259,1.0004,0.2366,5.16 × 10^-4,1.55 × 10^-2
bmshj2018-factorized,1,12,23.63,0.8412,0.999,0.4812,4.33 × 10^-3,4.56 × 10^-2
bmshj2018-factorized,1,13,28.13,0.8929,0.9969,0.3682,1.54 × 10^-3,2.73 × 10^-2
bmshj2018-factorized,1,14,31.36,0.9227,0.9946,0.2475,7.32 × 10^-4,1.7 × 10^-2
bmshj2018-factorized,1,15,30.91,0.9119,0.993,0.2583,8.1 × 10^-4,1.93 × 10^-2
bmshj2018-factorized,1,16,31.3,0.9359,1.0041,0.2542,7.41 × 10^-4,1.71 × 10^-2
bmshj2018-factorized,1,17,27.01,0.8899,1.0107,0.3583,1.99 × 10^-3,2.88 × 10^-2
bmshj2018-factorized,1,18,29.79,0.9087,0.9976,0.2849,1.05 × 10^-3,2.19 × 10^-2
bmshj2018-factorized,1,19,31.75,0.9366,0.9994,0.2401,6.68 × 10^-4,1.47 × 10^-2
bmshj2018-factorized,1,20,28.57,0.9218,1.0012,0.3178,1.39 × 10^-3,2.34 × 10^-2
